stars,text
1,"For the past few years, my employees and I attend an annual conference at the MGM Grand and I take the dozen or so employees to lunch at the Rainforest cafe--not anymore! The food and service this past week when we dined was awful!! It took nearly an hour to get our tasteless, mediocre and overpriced food. If you are looking for good food and service, go to another restaurant and avoid the Rainforest cafe at the MGM!!!"
1,rude staff they we're more concerned with hanging out with friends then helping customers.
1,"Wow. Terrible service last night.  We were seated at our table for 40 minutes without a single glass of water. We had finally gotten our drinks 30 minutes in. The two plates of bread they brought out for the table of 15 were long gone and we hadn't ordered any food yet so we asked for the manager.  His rude and defensive response has to be one of the worst I've ever witnessed.  My brother was so annoyed he asked the guy to walk away.  When the food arrived it was sub par.  It certainly wasn't as good as it used to be.  The Mac n cheese was dry and flavorless, our meatballs were bland, we got about half as many padron peppers as we used to.  My shrimp ceviche was served on a different plate then it used to be leaving my tortilla chips to sit in the juice and become soggy.  Thank goodness we had the best company and we were able to laugh and still enjoy the night.  I will not be back...ever"
1,Beware!! My mother in law had a cockroach in her tea!!!! Not sure if it was in her cup or in the refill. We noticed it at the end of our meal! We were mortified n they were quite rude about it to boot!! It's a shame because we WERE regulars.
1,"Awful restaurant! This place USED TO BE AWESOME when it was Lolita's. The new-age Mexican food they offered was flavorful and every dish was a culinary experience. Since this place became Coconuts the food has turned to crap. Everything we tried was overcooked, under seasoned and swimming in tasteless sauce.  Tables were sticky and dirty, not tablecloths, and poor service given.  \n\nDo yourself a favor and do not come to eat here. It's a waste of time and money."
1,"Gold Rush Jewelry Design, owner, Alfonso is extremely unfriendly and rude.  Before you buy anything at his shop, be absolutely sure you like your merchandise and unlikely to change your mind about it BECAUSE once bought your merchandise and left his shop, there is NO after sale service whatsoever.  He refused to replace the off color diamonds in my ear-rings that he has set.  He told me he could do nothing about it.  I will NEVER go back to his shop again !!"
1,"**THIS COMPANY IS A FRAUD MONEY STEALING BLACK HOLE.**\nDo not trust this company with any of your car rentals. I arrived a few hours earlier than the reserved pickup time. I asked if it was alright to pick up the car earlier than the reservation without any extra charges and they said it was fine and I already reserved the car for the extra hours (supposedly). I put a $27 insurance on top of for the day, thinking it was a simple $27 charged. A $92 total balance for the rental for one day in Vegas wasn't too bad. THING AGAIN! I was billed an extra $114! For a total of $186 for ONE DAY! I argued with the manager who gave a \""I could care less\"" attitude and said the extra charges where a 40% tax on top of other fee's in relation to the insurance I accepted and the EXTRA HOURS. They never mentioned these fees when I went to pick up my car, and ofcourse they charged me for the extra hours which they stated at first were already included in the $72 previous balance when I reserved the car.\n\nI wasn't able to get my money refunded. \n\nDON'T TRUST YOURSELF WITH THIS COMPANY. HORRIBLE LYING CUSTOMER SERVICE, CRUEL ATTITUDE TO ANY OF YOUR NEEDS, AND OUTRAGEOUS HIDDEN FEE'S"
1,I went here twice the 2nd time we came the Waitress was a total bitch and very disrespectfull to my friends sister I've eaten better lebanese food! I've worked in a lebanese Resturant  not to say that the food sucks but the waitress we had was horrible!   and the food there is just ok cause like I said I've had better !
1,called the customer service to close my lost secured credit card because also I was charged an undisclosed fee of 25 bucks annually. Neither the branch or cust service was able to help me and now they're sending me a new card so I can come to branch and close it. What ?
1,"Just returned from SoCal Fish Taco Co.  Very disappointing.  Decor and design was interesting, server good, but that's where it all ended.  Don't think much was made from scratch.  Everything tasted canned, salsa, weak cocktail sauce (more like regular ketchup) beans, tortillas......EVERYTHING.  \n\nReally wanted to like this place.  No flavor/seasonings ... Boring.  Wish it was different.  Shrimp tacos and grouper tacos had no flavor at all.  Shrimp had watery/boiled texture.  Not worth it.  Missed opportunity for this company."
1,"These assholes \""replaced my number \"" because they couldn't fix the left clip holding it in . Waited a week for my car only to find the clip had just been fixed and the stole my cell phone charger . No I didn't take it out I never take it out and they still had the balls to charge me for a new bumper"
1,The Pirate show was closed in December. Employees say it's indefinite...no plans to reopen at this time.
1,By far worst hotel I've ever stayed at .... front desk lady cristina is rude unprofessional and not knowledgeable at all!!!!
1,They should have a rating of zero stars.  I play 20 bucks to wait an hour for at best a half clean car.  Stay away!!! Danny must not get his car cleaned here.
1,"I only gave them one star because it may look like I just didn't rate them if I left it at 0. WORST PLACE EVER!! I was told by a rude salesperson and an even more rude manager that I did not qualify for the 04 ford expedition I went to see before I was even given an opportunity to test drive. After leaving highly upset I stopped down the road at City Chevrolet where I was greeted by a courteous sales professional by the name of Avon Spann \""THE CHEVY MANN\"". Not only did he get me in a 2014 vehicle which I didn't qualify for as far as ford was concerned. But he treated me so well I don't want to buy cars from anyone or anywhere else. Even if you want a Ford still go see The CHEVY MANN @ City Chevrolet. He'll get you anything you ask for. My brother is working with him to buy a BMW that is in Tallahassee, FL"
1,"I've eaten here once after having it suggested by numerous people, I was totally disappointed with the service, food, and the place itself, I will not be headed back......ever\nSave your money, or starve either would be a better option"
1,"Worst car rental experience ever. Arrived in Phoenix after booking a car 3 months earlier, I had a late flight, landed at 11:30\nand was told they had no cars on the lot. Do Not Book Here."
1,"We came in for lunch with a $20 Yelp Deal.  The restaurant was located on W Sunset Rd/S Decatur Blvd in a gas station strip mall in Las Vegas.  There is a partition in front of the bathroom door.\n\nThe server gave us the dinner menus and he did not ask for our drink order..  The prices were really expensive.  My friend went up to the counter and asked if they had lunch menus.  There was one other couple having lunch.\n\nA female server took our order.  My friend ordered the Schweine Schnitzel and I ordered the Bockwurst.  Another couple walked in and sat behind us.\n\nThe female server came out of the kitchen and served  the couple behind us 25 minutes after we sat down.  They did not recognized what they had ordered.  The server went to the window at the kitchen and talk to the chef.  I heard her say she gave the food to the wrong table.  \n\nShe never came back to our table to appologize or offer us a free appetizer or beverage while we waited for our lunch.  How could she server the other couple our food!?\n\nThe male server brought us our food about 9 minutes later.  He did not say anything about the mix up either.\n\nThe Bockwurst was tasty.  The fried potatoes had pieces of crisp bacon.  The red cabbage was okay.\n\nThe Schweine Schnitzel was breaded.  There was no sauce or anything on it.  The  scoop of German potato salad was served cold.\n\nThe male server asked if we saved room for dessert.  My friend mentioned the mix up and asked for a free strudle.  He only offered us one.  \n\nThe Apple Strudle was served heated with a side of whipped cream and unsweeted cream in a dish.  It was the best part of the meal, but did not make up for the attitudes of the servers."
1,"Omg this place is a NO GO! I repeat NO GO! I usually yelp places before I go and this one time I went without checking I totally messed up. People here won't do a job! ....rush rush rush to get to the next fool to pay them 25 bucks for a pedicure. They didn't take the cuticles cleaned up, soaked my feet and put the polish on my toes which was smeared all over. It looked like a 2 year old putting lipstick for fun. Omg! Awful, the guy and the chick here had major attitude. They try to fix wrong with another wrong... The heck bro! So I had to stop it. No Polish walked out.. Still paid them 25 bucks they might need it to go back to school to be a nail tech or manicurist. Ouch! Bam!"
1,Always have great things to say BUT. If you're going to close at 7:45 then thats what should be posted on your sign not 8:00.  Its a burrito. It'll take about 4 minutes to cook
1,"While the shoe quality is excellent, their ordering practice is extremely poor.\nTwo pair of shoes were ordered on 12/30/13.  \nThree calls were placed after assurance of delivery on 1/3/14.  I was told bad weather, death, very busy time of year, lack of help....\nI was told the order was not placed until 1/6/14 on 1/14/14.  \nPlenty of opportunity was given for this company to fess up and simply state they were incapable of processing the order in a timely manner.  \nI was offered a refund.  Another irritating factor,   Foot Solutions processed the credit card immediately on 12/30/14.   Unfortunate they were not as speedy on delivery."
1,"My daughter and I came here looking for furniture and items for her new apartment and we got a little sidetracked at the exercise equipment department. She'd been considering buying a treadmill, too, so she chose one to try out and found that it was \""locked\"". A salesman wandered by and asked if she was interested in buying - she said, possibly so, so he unlocked the treadmill. After trying it and thanking him, he then told her to \""come back when she was ready to buy\"", in an \""I'm not taking you seriously\"" kind of manner. Not once was he the least bit friendly or did he even crack a smile. That is the last time we will visit that particular store. Poor customer service or was he just having a bad day (although the store had just opened and there was no one else around!)? Never again!"
1,"I am really disappointed in this place, but they are just around the corner and we keep hoping. HAHAHA! This time is the last! They just keep getting worse and worse. The selection is pathetic unless you get there immediately after they cook their donuts. Which appears to be once a day, some time in the morning. Otherwise, they're not fresh. To boot, they insist a bear claw is some kind of apple-filled monstrosity. In addition to the numerous times we have gotten what were supposed to be filled donuts and they had only a DOT of filling, the latest is donuts that they can't even bother cooking all the way. They tasted like wet dough  because they WERE WET DOUGH! These people are nice enough but they seem to not give a damn that the quality is TERRIBLE! Raise your standards, Arizona, a little, for crying out loud: Just because it's a fried carb does NOT mean you have to give it five stars."
1,Ordered delivery Pizza was disgusting. Hot wings were disgusting. Price was outrageous in comparison to the quality. Cookie desert burn on the outside undercooked on the inside. Idiot driver placed ice cream over hot cookie so it was liquid by the time it got to us. Shouldn't have even delivered that desert.
1,"If I could give this place no stars, I would. We placed an order online under the impression that we were paying $60 for 4 rolls. What we got instead was 16 pieces. DON'T BUY FROM THEM. They will rip you off. When we called to complain, the manager, Dave, was rude, unsympathetic that their website was misleading, and tried to blame the delivery company for making the order wrong. Talk about misplaced blame and unaccountability. Horrible business and even worse customer service."
1,Another John Taffer bar that closed.
1,"So they serve food after 2am?  So does Denny's.  And Whataburger.  And at Denny's they dont make you sit on some sick ass counch that has god knows what on it from its better days at Sigma Chi.  Everyone that has sat on those couches should go get tested immediately.\n\nAre you all so drunk when making the decision to stumble to Mickey's that you dont realize how disgusting it is?  And that you've just PAID COVER to get in there??  What is this cover for?  Obviously not new couches.  Or more bathrooms.  Two bathrooms with one room each doesnt cut it for me.  Because then I have to wait in line to pee, thinking about how I just paid $5 to stand in line and look at ugly people sitting on splooge covered couches.  \n\nDrink specials and the patio when its not 130 degrees might be appealing if the rest of this nightmare wasnt so fresh in my mind."
1,"Was hoping that this one would be quicker than the one on Flamingo. Given that it was a Sunday and there was only one other customer, we thought we got lucky. Unfortunately, it took quite a bit to flag down the employee and finally make eye contact. I told him we tried to make an appointment but the sprint app is useless and kept erroring out and would not let us login. He said he would be with us in 5 minutes. After 15, we had to give up and leave or we would have been late to work. Now we have to spend the next couple of days with a brand new phone that cannot power on because we cannot spare the hours it takes to go and wait at a sprint store."
1,"$8.25 for a little Bloody Mary, well Vodka. You make the call"
1,"Terrible service, i went here to only get a flat tire replaced. They said i needed new brakes so I said ok lets change them. I told the manager or the person helping me at the front desk that i was in a rush and wanted to order the brakes and come back. They basically had me sit in the waiting room for an hour before i came out to see what was going on. They spent an hour putting my rim on the WRONG size tire. When i told him that i needed to leave he said ok we will put your tires back on and let you leave. I reminded him i had a flat tire and was riding on a spare. The whole reason i came to them was to get one tire fixed and they made me wait an hour just to screw it all up. Worst care service i have ever gotten hands down"
1,Fun food but AWFUL SERVICE our meals took forever to make it to the table and the waitress mite as well been none existent. Definitely not worth the 40min wait to get a table (when there was empty tables everywhere)
1,"Horrible!!!! We booked through Expedia and when I checked in they didn't have my reservations so they charged my card twice and said one would drop off. While walking to our room there was a girl unconscious and cops were trying to wake her, the hotel smelled like weed, and people were throwing their own parties in the parking lot... One word GHETTO!!!"
1,"ummm if you want a good burger go to Gordon Ramsay BurGR in Planet Hollywood across the street.\n\nWe stayed at the Mirage and there always seemed to be a line for BLT, it was convenient so we thought we would give it a go. Well the service was crap, the waitress never came by barely spoke to us......  I got the Tex Mex burger and it was like dripping in sweet BBQ sauce, gross..... not very good at all, I had two bites..... We also tried the nacho basket, just a soggy mess of more sweet BBQ over chips..... I am from South Texas and like my shit hot! So maybe I am just spoiled by good nachos.... who knows but if you are excepting good food stay away, if you don't really care then go for it.... You'll be wasting $100 for two people..... But maybe you are rich and don't care.  I blame this restaurant for giving me the worst hangover ever.... Thanks a lot Obama!"
1,"Was convinced once again by peers to try this place.\n\nOliveo's delivers pretty mediocre/flavorless Greek for a \""bargain\""  price. Bargain being around five dollars for anything on the menu. \n\nThe taste.... It tastes like 99\u00a2\n\n\n\nRecap from my visits: \n\nBad greasy falafel (prompted me to review the falafel was truly terrible)\nTasteless Gyros\nSides that stayed....well on the side\n\nGo to Haji Baba nearby instead... or anywhere else for that matter.\n\nI guess location keeps em in business~"
1,"Came for a weekend with a large group of co-workers and it started off horrible from the minute we checked in! I don't even know where to begin. Our boss was going to pay not only for the rooms but the deposit you make in case anything else gets charged or things get ruined. They billed me anyways! Our rooms were not ready and they took our cell numbers and said they would call when ready, never did! Asked if we wanted coffee in our room. Never brought it! We asked them to bring sheets etc. for the fold out bed/couch and to please get it ready. Never did! At the pool we sat down and it took 45min to get a drink and just as long to get the bill! The only time we had some good service was at the little bar downstairs. Eric was great! This did not make up for anything though! DO NOT EVER GO THERE OR YOU WILL BE SORRY! I have stayed at many other las Vegas hotels and had great service! Beware!"
1,"I have been several times and nope it sucks. Back to Panda. The meat taste strange, I mean real strange. The Mongolian no matter how much Soy Sauce a molecule can take its still bland. At least at YC's or even Genghis Grill you have options. You will find that there are several dishes that are decent and its all chicken...I hope..."
1,Bad bad experience... Got sold on a hand car wash to clean the mud from underneath. Came out with mud still caked on... And... They lost my antenna.. Why would you need to take the antenna off if you were going to hand wash it!!??? Save your obey.. Go the 5$ wash.
1,"They don't deserve to use the words \""dim sum\"" in their name!!  This is not a dim sum place at all!!  A few dim sum items under the appetizer section of their menu does not do it!!  Who ever heard of $18 for a bowl of pho?!!  We didn't order that but wanted to note how ridiculous that was - only in Vegas, I guess!!  We had their wonton noodle soup, which was $12, and not spectacular!  We ordered the hau gow and sue mai just to try it and it was dry and not worth it at all!!  The service was super slow and the servers all looked miserable!  Worse place ever, not worth a dime!!!"
1,"They're open 8:30-5:00 Monday - Friday, I know this only because I called and had to interrogate the receptionist.  Nearly asking for the hours was not enough.  \n\nWhen I arrived today at about 11:00 the lights were off, also it's located in a building with a different sign, I'm not actually sure how anyone finds this place.  When I walked in a gentleman doing nothing ignore me.  The receptionist who was with a customer didn't even look at over and no one bothered to turn the lights on.  I lasted about another 30 seconds before leaving.\n\nI won't be back."
1,Very bad service. They don't show up and are difficult to reach. Do not risk using these for your pool !
1,"I REALLY wanted to love this place...but it did not go well.  I never noticed this restaurant although it is right next door to my favorite burrito spot (Super Burrito).  When I arrived they were plenty of people pulling into the drive thru.  Since I couldn't figure out what to order, I went inside.  The staff was cordial.  I decided to keep it simple and ordered a traditional burrito.  I was so excited!  I got home and bit into it and \""crunch\""!  I tried again..more crunch!  Broken egg shells in my burrito!   Needless to say I lost my appetite.  I called to let them know I was bringing the burrito back and no I didn't want anything else (they offered).  Although they were very apologetic, I'm just not sure I can bring myself back to trying something else.  D'lish was a D'isappointment :(  Maybe I'll give the new Tempe location a try *sigh*."
1,Can't do all you can eat by yourself. Seems unfair to pay more for just a single item on the menu when I couldn't get someone to join me and get the 15.99 price.
1,I went for a nice meal tonight and wound up with a rather bad experience. I first sat in the bar and got a drink. After watching the bartender cater to a group of five while I sat alone and waited 10 minutes for a menu I decided to sit somewhere else in the main dining room.  Kevin then served me. Everything was fine until a party of eight showed up and then he could care less about me and did not show up but once every 20 minutes. Of course when he did come by he wanted to know if I wanted another $20 glass of wine to pump up the bill.  Stay away from this place because the servers just want to make their money on the big parties. And my tip to Kevin showed it. I have been known to tip a lot. Usually 50%. But not tonight and I will not go back. Typical West Coast environment. Short term
1,Great looking restaurant.  We couldn't enjoy the atmosphere though since they crammed everyone in the restaurant into one tiny section.  I agree with the comment about the food being a joke.  Service wasn't great either - lots of employees around but few smiles or greetings.  Don't be fooled by the looks of this place if you want to have a nice dinner.
1,"I moved to NW LV 6 months ago and often bike 20+ miles to the strip for some poker and gaming fun. I recently arrived at the Quad to meet a friend passing through town. Upon arriving I had to lock up my bike so I asked valet if they had a bike rack. The attendant replied with uncertainty and told me \""no\"", then said \""maybe in the back\"" and then \""no\"" again. I asked the attendant specifically if there would be a problem if I locked my bike up to a post or railing somewhere. The attendant didn't know or didn't think it would be a problem. I was very sure to show the attendant my concern for locking my bike to an undesignated post but it felt okay to do so according to the response. I proceed through the valet and into the parking garage to first look for a designated bike rack or bike area. After climbing several floors I came across nothing to be designated and proceeded to look for a railing. I came across an old and obviously unused stairway and locked up my bike using a Kryptonite lock and cable to the side of the staircase. I positioned my bicycle in a very thoughtful manner to make sure my handlebars or any extremity were in no way going to block the access of the staircase. I met a friend, we joined a poker tournament and I left roughly 2 hours later. My bike was gone. No evidence of anything was left behind. Immediately it felt like a security issue vs a theft issue. It takes a lot of work to break a Kryptonite U-Lock. I was outraged but I kept my cool and expressed my disgust professionally. \nValet called up security and immediately security became sarcastic and admitted they cut my lock and took my bike because it was illegally locked to a stairway. I then quickly began to explain how I spoke with valet about the bike rack situation and how there was no concern with locking my bike to a post or railing somewhere. Of course they didn't care and had very foolish reasons why they did what they did.  They told me that I should have asked security where to park my bike and not valet, but who would ever think to ask security? Valet seems like the more obvious to me. The security continued to tell me that if I would have asked them, they would have directed me towards the Bell desk and Bell would have taken care of it for me. Who would have thought Bell will take care of your bikes for you? And why aren't the valet trained to tell you that? \n\nI demand an apology and a $25 check to cover the cost of my lock. I will not let this go until I get what I deserve but either way this casino and Caesars Management in general have lost all my respect."
1,"I hadn't been to Las Vegas for 4 years so I took the first taxi from the airport. Yello-Checker-Star.   Big mistake!!!  He asked me which way I wanted to go to the Rio.  I said shortest, cheapest route.  He took the freeway.  The fare was $29.10 and when I gave him 2 $20's he asked if I wanted change!!  When I took a taxi from the Rio to the airport the next morning the fare was $16.20...  I will NEVER get in one of their cabs again and I am telling all of my friends (who fly a LOT) about my experience.  You may make more on the fare one time but it costs you in the end.  Bad way to do business."
1,"Horrible service.  Walked around the men's department for 30 minutes looking for a particular color/style pants.  \n\nDidn't see anyone in the department for a little while and just searched on my own.  About 10 minutes pass by I see an associate.  He doesn't acknowledge me or ask if I need help.  I continues to shop on my own.  \n\nBy the end of the 30 minutes I see he's asked two other people if they needed help.  It took him a while to approach each one.  During the time he asked the other two, I walked passed the associate twice and he walked next to me once.  Never once even acknowledging my presence.  \n\nI guess I'll take my business elsewhere like Armani.  They are always very friendly there."
1,"I've given this place a try on 3 different occasions since it seems to get such great reviews.  The first time  I went, I ordered the tenderloin, medium cooked.  They overcooked the steak the first shot, so I sent it back.  The second shot was WAY undercooked, but I didn't send it back again.\n\nThe second time I went for lunch, I ordered the steak sandwich.  I ordered it medium, yet once again it was undercooked.  I didn't send it back because the people I was with kept on telling me how good a restaurant it was, and so I didn't send it back because I didn't want them to look bad..  So instead, I choked down my undercooked steak sandwich.\n\nThis last time I ordered the scallops.  They did not taste fresh at all.  Over $30 for 3 fishy tasting scallops????\n\nThis place has a stuffy atmosphere and horrible food.  I will never go back."
